Al2O3_1,3.91822287,-0.0,-0.0,-0.0,3.91822406,-0.0,-0.0,-0.0,3.36650639
Al2O3_10,4.29616783,0.0,0.0,0.0,4.29616751,-2.1e-07,0.0,-2.1e-07,3.29600301
Al2O3_100,4.58351386,0.0,0.0,0.0,4.58351301,-0.0,0.0,-0.0,3.67787916
Al2O3_1000,4.49571746,0.0,0.0,0.0,4.49571844,3.2e-07,0.0,3.2e-07,4.31002756
Al2O3_1001,4.58812403,0.0,0.0,0.0,4.58812579,0.0,0.0,0.0,3.88515027
Al2O3_1002,3.68897936,3.3e-07,1.9e-07,3.3e-07,3.6889792,0.0,1.9e-07,0.0,3.60359669
Al2O3_1003,3.43531829,0.0,-0.0,0.0,3.43531794,1.8e-07,-0.0,1.8e-07,3.21345564
Al2O3_1004,3.44705615,2.9e-07,1.8e-07,2.9e-07,3.44705622,1.8e-07,1.8e-07,1.8e-07,3.20046357
Al2O3_1005,3.39346267,3e-07,1.8e-07,3e-07,3.39346262,1.8e-07,1.8e-07,1.8e-07,3.60766938
Al2O3_1006,4.2236572,-4e-07,-2.4e-07,-4e-07,4.22365675,-2.4e-07,-2.4e-07,-2.4e-07,3.96450404
Al2O3_1007,3.39657933,-0.0,0.0,-0.0,3.39657921,0.0,0.0,0.0,3.94828953
Al2O3_1009,3.82662248,-0.0,0.0,-0.0,3.82662169,-1.9e-07,0.0,-1.9e-07,3.61619366
Al2O3_101,3.41520667,-2.8e-07,-1.8e-07,-2.8e-07,3.41520583,-1.8e-07,-1.8e-07,-1.8e-07,3.31873579
Al2O3_1010,3.40169063,-0.0,-0.0,-0.0,3.40169019,2.1e-07,-0.0,2.1e-07,4.02177836
Al2O3_1011,3.40663328,0.0,0.0,0.0,3.40663242,-0.0,0.0,-0.0,3.42430328
Al2O3_1012,3.7967965,-0.0,-0.0,-0.0,3.7967973,0.0,-0.0,0.0,3.25404133
Al2O3_1013,4.74693391,-0.0,0.0,-0.0,4.74693249,2.9e-07,0.0,2.9e-07,4.24005093
Al2O3_1014,3.59171174,-3.3e-07,-1.8e-07,-3.3e-07,3.59171191,1.8e-07,-1.8e-07,1.8e-07,3.32581731
Al2O3_1015,3.26682214,2.9e-07,1.9e-07,2.9e-07,3.26682263,-1.9e-07,1.9e-07,-1.9e-07,3.63071763
Al2O3_1016,3.43161768,0.0,-0.0,0.0,3.43161727,-1.9e-07,-0.0,-1.9e-07,3.66548408
Al2O3_1017,4.81326538,0.0,-0.0,0.0,4.81326526,2.8e-07,-0.0,2.8e-07,4.04159915
Al2O3_1018,3.99231086,0.0,0.0,0.0,3.99231148,0.0,0.0,0.0,3.38157488
Al2O3_1019,3.61069949,-0.0,0.0,-0.0,3.61069987,0.0,0.0,0.0,3.45065771
Al2O3_102,4.17211837,-0.0,-0.0,-0.0,4.17212023,0.0,-0.0,0.0,3.19373366
Al2O3_1020,3.4079577,0.0,0.0,0.0,3.40795724,1.8e-07,0.0,1.8e-07,3.47481071
Al2O3_1021,3.27735323,-2.9e-07,-1.8e-07,-2.9e-07,3.27735249,1.8e-07,-1.8e-07,1.8e-07,3.45145704
